obj_id	 | ra	 | dec	 | type	 | Type Ref	 | ZSNID Subtype	 | Discovery Date	 | Discoverer	 | Discovery Ref	 | Host Name	 | Host Type	 | Galaxy Redshift	 | Galaxy Redshift Error | z | zerr	 | Reddening	 | Reddening Error	 
2012gp	 | 95.026	 | -64.9524	 | Ia	 | CBET 3306	 | 	 | 2012-10-10	 | Parker	 | CBET 3306	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.07624	 | 0	 
2012gq	 | 43.1917	 | 46.9312	 | II	 | CBET 3307	 | 	 | 2012-11-14	 | Wang, Gao	 | CBET 3307	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.19724	 | 0	 
2012gr	 | 54.7318	 | 16.8288	 | IIP	 | CBET 3308	 | 	 | 2012-11-12	 | Balanutsa (MASTER)	 | CBET 3308	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.18331	 | 0	 
2012gs	 | 53.4091	 | -27.3391	 | Ia	 | CBET 3311	 | 	 | 2012-10-25	 | Cappellaro et al. (SUDARE/VOICE collaboration)	 | CBET 3311	 | VOICE J033338.154-272020.76	 | 	 | 0.525	 | 0	 | 	 | 0	 | 0.00831	 | 0	 
2012gt	 | 53.2865	 | -28.0845	 | Ia	 | CBET 3311	 | 	 | 2012-10-25	 | Cappellaro et al. (SUDARE/VOICE collaboration)	 | CBET 3311	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.00731	 | 0	 
2012gu	 | 58.1695	 | -27.4387	 | Ic	 | CBET 3311	 | 	 | 2012-10-25	 | Cappellaro et al. (SUDARE/VOICE collaboration)	 | CBET 3311	 | VOICE J035240.583-272619.52	 | 	 | 0.45	 | 0	 | 	 | 0	 | 0.0099	 | 0	 
2012gv	 | 52.9045	 | -27.355	 | Ia	 | CBET 3311	 | 	 | 2012-11-10	 | Cappellaro et al. (SUDARE/VOICE collaboration)	 | CBET 3311	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.00986	 | 0	 
2012gw	 | 152.538	 | -38.1375	 | Ia	 | CBET 3312	 | 	 | 2012-10-06	 | Parker	 | CBET 3312	 | ESO 316-38	 | (R)SB(rs)0+pecLINER?	 | 0.016575	 | 0.000063	 | 	 | 0	 | 0.08982	 | 0	 
2012gx	 | 9.50729	 | -13.861	 | Ia	 | CBET 3314	 | 	 | 2012-11-18	 | Drake et al. (Siding Spring Survey)	 | CBET 3314	 | MCG -02-2-72	 | 	 | 	 | 0	 | 	 | 0	 | 0.02255	 | 0	 
2012gy	 | 119.148	 | 39.902	 | Ia	 | CBET 3316	 | 	 | 2012-11-15	 | Howerton Drake et al. (Catalina Sky Survey)	 | CBET 3316	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.05525	 | 0	 
2012gz	 | 42.5734	 | 32.4111	 | Ia	 | CBET 3317	 | 	 | 2012-11-20	 | Drake et al. (Catalina Sky Survey)	 | CBET 3317	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.20773	 | 0	 
