	u*	g'	r'	I'	z'
943.0	0.13	0.04	0.06	0.04	87.33
943.5	0.13	0.04	0.06	0.04	87.40
944.0	0.14	0.04	0.06	0.04	87.48
944.5	0.14	0.04	0.06	0.03	87.55
945.0	0.15	0.04	0.06	0.03	87.63
945.5	0.15	0.04	0.06	0.03	87.72
946.0	0.16	0.04	0.05	0.03	87.80
946.5	0.16	0.04	0.06	0.03	87.88
947.0	0.16	0.04	0.06	0.03	87.97
947.5	0.17	0.04	0.06	0.04	88.06
948.0	0.17	0.04	0.06	0.03	88.15
948.5	0.17	0.04	0.06	0.03	88.24
949.0	0.17	0.04	0.06	0.03	88.35
949.5	0.17	0.04	0.06	0.03	88.44
950.0	0.17	0.04	0.06	0.03	88.53
950.5	0.17	0.04	0.06	0.04	88.63
951.0	0.17	0.03	0.06	0.03	88.73
951.5	0.16	0.04	0.06	0.03	88.83
952.0	0.16	0.04	0.06	0.04	88.94
952.5	0.16	0.04	0.06	0.03	89.03
953.0	0.15	0.04	0.06	0.03	89.13
953.5	0.15	0.03	0.06	0.03	89.23
954.0	0.15	0.04	0.06	0.04	89.33
954.5	0.14	0.04	0.06	0.03	89.44
955.0	0.14	0.04	0.06	0.03	89.54
955.5	0.14	0.04	0.06	0.04	89.64
956.0	0.13	0.04	0.06	0.04	89.74
956.5	0.13	0.04	0.05	0.03	89.83
957.0	0.13	0.04	0.06	0.03	89.92
957.5	0.12	0.04	0.06	0.03	90.02
958.0	0.12	0.04	0.05	0.04	90.12
958.5	0.12	0.04	0.05	0.04	90.22
959.0	0.11	0.04	0.05	0.03	90.30
959.5	0.11	0.04	0.05	0.03	90.39
960.0	0.10	0.04	0.05	0.03	90.48
960.5	0.10	0.04	0.05	0.03	90.57
961.0	0.10	0.04	0.06	0.03	90.66
961.5	0.09	0.04	0.05	0.03	90.75
962.0	0.09	0.04	0.05	0.04	90.82
962.5	0.08	0.04	0.06	0.03	90.90
963.0	0.08	0.04	0.05	0.03	90.97
963.5	0.07	0.04	0.05	0.03	91.05
964.0	0.07	0.04	0.05	0.03	91.13
964.5	0.07	0.04	0.05	0.03	91.20
965.0	0.06	0.04	0.05	0.04	91.27
965.5	0.06	0.04	0.05	0.03	91.33
966.0	0.06	0.04	0.05	0.03	91.39
966.5	0.06	0.04	0.05	0.03	91.45
967.0	0.05	0.04	0.05	0.03	91.50
967.5	0.05	0.04	0.05	0.03	91.56
968.0	0.05	0.04	0.05	0.03	91.61
968.5	0.05	0.04	0.05	0.03	91.65
969.0	0.05	0.04	0.05	0.03	91.69
969.5	0.05	0.04	0.05	0.03	91.74
970.0	0.04	0.04	0.05	0.03	91.77
970.5	0.04	0.04	0.06	0.03	91.81
971.0	0.04	0.04	0.05	0.03	91.84
971.5	0.04	0.04	0.05	0.03	91.87
972.0	0.04	0.04	0.05	0.03	91.89
972.5	0.05	0.04	0.06	0.03	91.91
973.0	0.04	0.04	0.05	0.03	91.93
973.5	0.05	0.04	0.06	0.03	91.95
974.0	0.05	0.04	0.05	0.03	91.96
974.5	0.05	0.04	0.05	0.03	91.97
975.0	0.05	0.04	0.05	0.03	91.98
975.5	0.05	0.04	0.05	0.03	91.98
976.0	0.05	0.04	0.05	0.03	91.98
976.5	0.05	0.04	0.05	0.03	91.98
977.0	0.05	0.04	0.05	0.03	91.97
977.5	0.05	0.04	0.05	0.03	91.96
978.0	0.05	0.04	0.06	0.03	91.95
978.5	0.05	0.04	0.05	0.03	91.94
979.0	0.05	0.04	0.06	0.03	91.92
979.5	0.06	0.04	0.05	0.04	91.90
980.0	0.05	0.04	0.05	0.03	91.87
980.5	0.06	0.04	0.05	0.04	91.85
981.0	0.06	0.04	0.05	0.03	91.82
981.5	0.06	0.04	0.05	0.03	91.80
982.0	0.06	0.04	0.05	0.03	91.76
982.5	0.06	0.04	0.05	0.03	91.73
983.0	0.06	0.04	0.05	0.03	91.69
983.5	0.06	0.04	0.05	0.03	91.65
984.0	0.06	0.04	0.06	0.03	91.61
984.5	0.06	0.04	0.05	0.03	91.57
985.0	0.06	0.04	0.06	0.03	91.53
985.5	0.06	0.05	0.05	0.03	91.48
986.0	0.06	0.04	0.05	0.03	91.43
986.5	0.06	0.05	0.06	0.03	91.38
987.0	0.06	0.04	0.06	0.03	91.33
987.5	0.06	0.04	0.05	0.03	91.28
988.0	0.06	0.04	0.06	0.03	91.23
988.5	0.05	0.04	0.06	0.03	91.18
989.0	0.05	0.04	0.06	0.03	91.12
989.5	0.05	0.04	0.06	0.03	91.07
990.0	0.05	0.05	0.06	0.03	91.02
990.5	0.05	0.04	0.05	0.03	90.96
991.0	0.05	0.04	0.06	0.03	90.90
991.5	0.05	0.04	0.06	0.03	90.85
992.0	0.05	0.04	0.06	0.04	90.80
992.5	0.05	0.04	0.06	0.03	90.74
993.0	0.05	0.04	0.06	0.03	90.68
993.5	0.05	0.04	0.05	0.03	90.63
994.0	0.05	0.04	0.05	0.03	90.57
994.5	0.05	0.04	0.05	0.03	90.52
995.0	0.05	0.04	0.06	0.03	90.47
995.5	0.05	0.04	0.05	0.03	90.41
996.0	0.05	0.04	0.05	0.03	90.36
996.5	0.05	0.05	0.06	0.03	90.31
997.0	0.05	0.04	0.06	0.03	90.25
997.5	0.05	0.04	0.06	0.03	90.21
998.0	0.05	0.04	0.05	0.03	90.16
998.5	0.05	0.04	0.05	0.03	90.10
999.0	0.05	0.04	0.05	0.03	90.06
999.5	0.05	0.04	0.06	0.03	90.01
1000.0	0.05	0.04	0.05	0.03	89.96
1000.5	0.05	0.04	0.06	0.03	89.92
1001.0	0.05	0.04	0.05	0.03	89.88
1001.5	0.05	0.04	0.05	0.03	89.83
1002.0	0.05	0.04	0.05	0.03	89.80
1002.5	0.05	0.04	0.05	0.03	89.75
1003.0	0.05	0.04	0.05	0.03	89.72
1003.5	0.05	0.04	0.06	0.03	89.69
1004.0	0.05	0.04	0.05	0.03	89.65
1004.5	0.05	0.04	0.05	0.04	89.62
1005.0	0.05	0.05	0.05	0.03	89.59
1005.5	0.05	0.05	0.05	0.03	89.56
1006.0	0.05	0.05	0.05	0.03	89.53
1006.5	0.05	0.05	0.05	0.03	89.51
1007.0	0.05	0.05	0.05	0.03	89.49
1007.5	0.05	0.05	0.05	0.03	89.47
1008.0	0.05	0.05	0.06	0.03	89.45
1008.5	0.05	0.05	0.06	0.03	89.43
1009.0	0.05	0.05	0.05	0.03	89.41
1009.5	0.05	0.05	0.05	0.03	89.40
1010.0	0.05	0.05	0.05	0.04	89.39
1010.5	0.05	0.05	0.05	0.03	89.38
1011.0	0.05	0.05	0.05	0.03	89.37
1011.5	0.05	0.05	0.05	0.03	89.36
1012.0	0.05	0.05	0.05	0.04	89.36
1012.5	0.05	0.05	0.05	0.03	89.36
1013.0	0.05	0.05	0.05	0.03	89.36
1013.5	0.05	0.05	0.05	0.03	89.37
1014.0	0.05	0.05	0.05	0.03	89.37
1014.5	0.05	0.05	0.05	0.03	89.38
1015.0	0.05	0.05	0.05	0.03	89.39
1015.5	0.05	0.05	0.05	0.03	89.40
1016.0	0.05	0.05	0.05	0.03	89.41
1016.5	0.06	0.05	0.05	0.03	89.42
1017.0	0.06	0.05	0.05	0.03	89.44
1017.5	0.06	0.05	0.05	0.03	89.46
1018.0	0.06	0.05	0.05	0.03	89.49
1018.5	0.06	0.05	0.05	0.03	89.51
1019.0	0.06	0.05	0.05	0.03	89.54
1019.5	0.06	0.05	0.05	0.03	89.56
1020.0	0.06	0.05	0.05	0.03	89.59
1020.5	0.06	0.05	0.05	0.03	89.62
1021.0	0.06	0.05	0.05	0.03	89.65
1021.5	0.06	0.05	0.05	0.03	89.69
1022.0	0.06	0.05	0.05	0.03	89.72
1022.5	0.06	0.05	0.05	0.03	89.76
1023.0	0.07	0.05	0.06	0.03	89.80
1023.5	0.07	0.05	0.05	0.03	89.84
1024.0	0.07	0.04	0.05	0.03	89.88
1024.5	0.07	0.05	0.05	0.03	89.93
1025.0	0.07	0.04	0.05	0.03	89.98
1025.5	0.07	0.05	0.05	0.03	90.02
1026.0	0.07	0.05	0.05	0.03	90.07
1026.5	0.07	0.05	0.05	0.03	90.13
1027.0	0.07	0.04	0.05	0.04	90.18
1027.5	0.07	0.05	0.06	0.03	90.25
1028.0	0.07	0.05	0.05	0.03	90.30
1028.5	0.07	0.05	0.05	0.03	90.36
1029.0	0.07	0.05	0.05	0.04	90.41
1029.5	0.07	0.04	0.05	0.03	90.46
1030.0	0.07	0.05	0.05	0.03	90.53
1030.5	0.07	0.04	0.05	0.04	90.59
1031.0	0.07	0.04	0.05	0.04	90.65
1031.5	0.07	0.04	0.05	0.04	90.71
1032.0	0.07	0.04	0.05	0.03	90.77
1032.5	0.07	0.04	0.05	0.04	90.83
1033.0	0.07	0.04	0.06	0.03	90.90
1033.5	0.07	0.05	0.05	0.04	90.96
1034.0	0.07	0.04	0.05	0.03	91.03
1034.5	0.07	0.05	0.05	0.04	91.10
1035.0	0.07	0.04	0.05	0.04	91.16
1035.5	0.07	0.04	0.05	0.03	91.22
1036.0	0.07	0.05	0.05	0.03	91.28
1036.5	0.07	0.04	0.05	0.04	91.36
1037.0	0.07	0.04	0.05	0.03	91.43
1037.5	0.07	0.05	0.05	0.03	91.50
1038.0	0.08	0.05	0.05	0.04	91.57
1038.5	0.08	0.05	0.05	0.03	91.62
1039.0	0.08	0.05	0.05	0.04	91.69
1039.5	0.08	0.05	0.05	0.04	91.76
1040.0	0.08	0.05	0.05	0.04	91.84
1040.5	0.08	0.05	0.05	0.04	91.91
1041.0	0.08	0.05	0.05	0.04	91.97
1041.5	0.09	0.05	0.05	0.04	92.03
1042.0	0.09	0.05	0.05	0.04	92.10
1042.5	0.09	0.05	0.05	0.03	92.17
1043.0	0.09	0.05	0.06	0.03	92.23
1043.5	0.10	0.05	0.05	0.04	92.30
1044.0	0.10	0.05	0.05	0.03	92.37
1044.5	0.10	0.05	0.05	0.04	92.43
1045.0	0.10	0.05	0.05	0.04	92.48
1045.5	0.11	0.05	0.05	0.04	92.54
1046.0	0.11	0.05	0.05	0.04	92.61
1046.5	0.11	0.05	0.05	0.04	92.68
1047.0	0.12	0.05	0.05	0.04	92.73
1047.5	0.12	0.05	0.05	0.04	92.79
1048.0	0.12	0.05	0.05	0.04	92.84
1048.5	0.12	0.05	0.05	0.03	92.91
1049.0	0.13	0.06	0.05	0.04	92.96
1049.5	0.13	0.06	0.05	0.04	93.02
1050.0	0.13	0.06	0.05	0.04	93.08
1050.5	0.13	0.05	0.05	0.04	93.14
1051.0	0.14	0.06	0.06	0.04	93.17
1051.5	0.14	0.06	0.05	0.04	93.23
1052.0	0.14	0.06	0.05	0.04	93.28
1052.5	0.14	0.06	0.06	0.04	93.33
1053.0	0.14	0.06	0.05	0.04	93.38
1053.5	0.15	0.06	0.05	0.04	93.42
1054.0	0.15	0.06	0.05	0.04	93.47
1054.5	0.15	0.06	0.06	0.04	93.51
1055.0	0.15	0.06	0.05	0.04	93.55
1055.5	0.15	0.06	0.05	0.04	93.60
1056.0	0.15	0.06	0.06	0.04	93.64
1056.5	0.15	0.06	0.05	0.04	93.68
1057.0	0.15	0.06	0.05	0.04	93.71
1057.5	0.15	0.06	0.05	0.04	93.74
1058.0	0.15	0.07	0.05	0.04	93.78
1058.5	0.15	0.07	0.06	0.04	93.81
1059.0	0.16	0.06	0.05	0.04	93.84
1059.5	0.16	0.06	0.05	0.04	93.88
1060.0	0.16	0.07	0.06	0.04	93.90
1060.5	0.16	0.07	0.06	0.04	93.93
1061.0	0.16	0.07	0.05	0.04	93.95
1061.5	0.16	0.06	0.06	0.04	93.98
1062.0	0.16	0.07	0.05	0.04	94.00
1062.5	0.16	0.06	0.05	0.04	94.02
1063.0	0.16	0.06	0.06	0.04	94.04
1063.5	0.16	0.07	0.05	0.04	94.06
1064.0	0.17	0.06	0.06	0.04	94.08
1064.5	0.17	0.07	0.06	0.04	94.09
1065.0	0.17	0.07	0.06	0.04	94.10
1065.5	0.17	0.07	0.06	0.04	94.12
1066.0	0.17	0.06	0.06	0.04	94.13
1066.5	0.18	0.07	0.05	0.04	94.14
1067.0	0.18	0.06	0.05	0.04	94.14
1067.5	0.18	0.06	0.06	0.04	94.16
1068.0	0.18	0.06	0.06	0.04	94.16
1068.5	0.19	0.06	0.06	0.04	94.16
1069.0	0.19	0.06	0.06	0.04	94.17
1069.5	0.19	0.06	0.06	0.04	94.17
1070.0	0.20	0.06	0.06	0.04	94.17
1070.5	0.20	0.06	0.06	0.05	94.17
1071.0	0.20	0.06	0.05	0.04	94.17
1071.5	0.21	0.06	0.06	0.04	94.16
1072.0	0.21	0.06	0.06	0.05	94.16
1072.5	0.21	0.06	0.06	0.05	94.15
1073.0	0.22	0.06	0.05	0.04	94.14
1073.5	0.22	0.06	0.06	0.05	94.13
1074.0	0.23	0.06	0.06	0.04	94.12
1074.5	0.23	0.06	0.06	0.04	94.12
1075.0	0.23	0.06	0.05	0.05	94.10
1075.5	0.23	0.06	0.06	0.05	94.09
1076.0	0.24	0.06	0.06	0.05	94.07
1076.5	0.24	0.06	0.06	0.05	94.06
1077.0	0.24	0.06	0.05	0.05	94.04
1077.5	0.24	0.06	0.06	0.05	94.03
1078.0	0.25	0.06	0.05	0.05	94.01
1078.5	0.25	0.07	0.05	0.05	93.99
1079.0	0.25	0.06	0.06	0.05	93.97
1079.5	0.25	0.06	0.05	0.05	93.95
1080.0	0.26	0.06	0.05	0.05	93.93
1080.5	0.26	0.06	0.05	0.05	93.91
1081.0	0.26	0.07	0.05	0.05	93.89
1081.5	0.26	0.07	0.05	0.05	93.86
1082.0	0.26	0.07	0.06	0.05	93.84
1082.5	0.27	0.07	0.05	0.05	93.82
1083.0	0.27	0.07	0.05	0.06	93.80
1083.5	0.27	0.07	0.05	0.05	93.77
1084.0	0.27	0.06	0.05	0.05	93.75
1084.5	0.28	0.07	0.05	0.06	93.72
1085.0	0.28	0.07	0.06	0.06	93.69
1085.5	0.28	0.07	0.06	0.06	93.67
1086.0	0.28	0.07	0.05	0.06	93.64
1086.5	0.29	0.07	0.05	0.05	93.62
1087.0	0.29	0.07	0.05	0.06	93.59
1087.5	0.30	0.07	0.06	0.06	93.56
1088.0	0.30	0.08	0.05	0.06	93.54
1088.5	0.30	0.08	0.05	0.06	93.52
1089.0	0.31	0.08	0.05	0.06	93.49
1089.5	0.31	0.08	0.05	0.07	93.46
1090.0	0.32	0.08	0.05	0.06	93.43
1090.5	0.33	0.08	0.05	0.07	93.40
1091.0	0.33	0.09	0.05	0.06	93.37
1091.5	0.34	0.09	0.05	0.07	93.34
1092.0	0.34	0.09	0.06	0.07	93.32
1092.5	0.36	0.09	0.05	0.06	93.30
1093.0	0.36	0.10	0.05	0.07	93.27
1093.5	0.37	0.10	0.05	0.07	93.24
1094.0	0.38	0.10	0.05	0.07	93.21
1094.5	0.38	0.11	0.05	0.07	93.19
1095.0	0.40	0.11	0.05	0.07	93.16
1095.5	0.41	0.11	0.05	0.07	93.13
1096.0	0.42	0.11	0.06	0.07	93.11
1096.5	0.43	0.12	0.05	0.08	93.08
1097.0	0.44	0.12	0.05	0.07	93.06
1097.5	0.45	0.13	0.05	0.08	93.04
1098.0	0.46	0.13	0.05	0.08	93.02
1098.5	0.47	0.14	0.05	0.08	92.99
1099.0	0.48	0.14	0.05	0.08	92.97
1099.5	0.49	0.15	0.05	0.08	92.95
1100.0	0.50	0.15	0.06	0.08	92.92
